,source_data,source_location_of_data,source_comments_from_Tang_validation,data_cross_check_complete,UCYN_A_qPCR_assays_used,methods_sampling_analysis,time,lat,lon,depth,UCYN_A1_nifH_gene,UCYN_A2_A3_A4_nifH_gene,total_UCYN_A__nifH_gene,UCYN_B_nifH_gene,UCYN_C_nifH_gene,trichodesmium_nifH_gene,richelia_nifH_gene,calothrix_nifH_gene,richelia_associated_species,calothrix_associated_species,notes
544,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-07 00:00:00,15.0,-170.0,19.0,50000.00000000001,758.1521739130435,50758.152173913055,136413.043478261,0.0,277.50000000000017,585.4891304347827,,,,
545,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-07 00:00:00,15.0,-170.0,48.0,54347.82608695654,1237.5000000000011,55585.32608695655,60326.08695652177,0.0,1420.6521739130449,404.18478260869597,,,,
546,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-07 00:00:00,15.0,-170.0,116.0,8141.30434782609,50.706521739130466,8192.01086956522,788.1521739130447,0.0,0.0,0.0,,,,
547,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-07 00:00:00,15.0,-170.0,170.0,0,0.0,0.0,629.4565217391307,0.0,0.0,0.0,,,,
548,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-09 00:00:00,20.0,-170.0,0.0,7794.565217391309,0.0,7794.565217391309,109891.30434782608,70.36956521739138,181.08695652173924,352.17391304347836,,,,
549,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-09 00:00:00,20.0,-170.0,20.0,7358.695652173917,0.0,7358.695652173917,68043.47826086954,0.0,857.6086956521746,577.6630434782613,,,,
550,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-09 00:00:00,20.0,-170.0,47.0,149342.10526315813,935.8695652173922,150277.9748283755,140394.7368421054,0.0,14250.00000000001,137.11956521739145,,,,
551,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-09 00:00:00,20.0,-170.0,100.0,23750.00000000001,144.78260869565236,23894.782608695663,1520.6521739130446,0.0,0.0,0.0,,,,
552,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-09 00:00:00,20.0,-170.0,144.0,0,0.0,0.0,665.217391304348,0.0,0.0,0.0,,,,
553,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-10 00:00:00,24.0,-170.0,0.0,18369.565217391333,373.04347826087,18742.6086956522,5728.260869565217,0.0,5847.826086956525,268.5326086956523,,,,
554,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-10 00:00:00,24.0,-170.0,25.0,228586.95652173957,2478.260869565219,231065.2173913048,11956.521739130436,0.0,3716.30434782609,458.15217391304384,,,,
555,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-10 00:00:00,24.0,-170.0,54.0,872826.0869565232,7891.304347826096,880717.3913043493,1285.326086956523,71.02173913043478,0.0,230.38043478260883,,,,
556,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-10 00:00:00,24.0,-170.0,113.0,0,0.0,0.0,346.739130434783,0.0,0.0,0.0,,,,
557,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-10 00:00:00,24.0,-170.0,157.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
558,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-20 00:00:00,30.0,-170.0,0.0,9095.65217391298,0.0,9095.65217391298,0.0,0.0,130.59782608695662,333.4239130434783,,,,
559,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-20 00:00:00,30.0,-170.0,27.0,44456.521739130454,1275.0,45731.52173913045,0.0,0.0,567.3913043478265,381.6847826086958,,,,
560,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-20 00:00:00,30.0,-170.0,50.0,29619.565217391293,194.51086956521758,29814.076086956513,0.0,0.0,0.0,0.0,,,,
561,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-20 00:00:00,30.0,-170.0,93.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
562,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-20 00:00:00,30.0,-170.0,140.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
563,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-21 00:00:00,35.0,-170.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
564,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-21 00:00:00,35.0,-170.0,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
565,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-21 00:00:00,35.0,-170.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
566,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-21 00:00:00,35.0,-170.0,70.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
567,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-21 00:00:00,35.0,-170.0,99.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
568,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-23 00:00:00,40.0,-170.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
569,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-23 00:00:00,40.0,-170.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
570,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-23 00:00:00,40.0,-170.0,27.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
571,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-23 00:00:00,40.0,-170.0,63.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
572,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-23 00:00:00,40.0,-170.0,119.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
573,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-24 00:00:00,45.0,-170.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
574,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-24 00:00:00,45.0,-170.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
575,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-24 00:00:00,45.0,-170.0,29.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
576,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-24 00:00:00,45.0,-170.0,64.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
577,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-24 00:00:00,45.0,-170.0,107.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
578,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-25 00:00:00,50.0,-170.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
579,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-25 00:00:00,50.0,-170.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
580,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-25 00:00:00,50.0,-170.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
581,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-25 00:00:00,50.0,-170.0,63.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
582,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-25 00:00:00,50.0,-170.0,104.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
583,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-26 00:00:00,55.0,-170.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
584,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-26 00:00:00,55.0,-170.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
585,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-26 00:00:00,55.0,-170.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
586,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-26 00:00:00,55.0,-170.0,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
587,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-26 00:00:00,55.0,-170.0,60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
588,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-28 00:00:00,60.0,-170.67,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
589,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-28 00:00:00,60.0,-170.67,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
590,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-28 00:00:00,60.0,-170.67,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
591,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-28 00:00:00,60.0,-170.67,29.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
592,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-28 00:00:00,60.0,-170.67,46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
593,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-28 00:00:00,64.25,-168.0,0.0,0,123097.82608695676,123097.82608695676,0.0,0.0,0.0,0.0,,,,
594,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-28 00:00:00,64.25,-168.0,9.0,0,6048.913043478269,6048.913043478269,0.0,0.0,0.0,0.0,,,,
595,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-28 00:00:00,64.25,-168.0,13.0,0,1054.891304347827,1054.891304347827,0.0,0.0,0.0,0.0,,,,
596,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-28 00:00:00,64.25,-168.0,20.0,0,653.8043478260873,653.8043478260873,0.0,0.0,0.0,0.0,,,,
597,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-28 00:00:00,64.25,-168.0,30.0,0,217.663043478261,217.663043478261,0.0,0.0,0.0,0.0,,,,
598,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-30 00:00:00,68.0,-168.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
599,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-30 00:00:00,68.0,-168.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
600,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-30 00:00:00,68.0,-168.0,27.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
601,"Shiozaki et al., 2017. GBC.",integral data shown in Table 1; volumetric data shown in Data Set S1,"Original database did not parse A1 from A2, which led to confusion about the presence of A1 in the north latitudes",Y,Shiozaki 2014 (A1),qPCR,2014-07-30 00:00:00,68.0,-168.0,35.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
602,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/29/2015 12:40,23.084,117.416,5.0,3.6760145000000004,,,0.0,,41.9853081,438238.8609,0.0,,,
603,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/29/2015 8:50,22.844,117.668,5.0,1.5628549999999999,,,0.0,,72.168927,55529.2648,0.0,,,
604,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/27/2015 14:00,22.9119,116.661,5.0,,,,,,,,,,,
605,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/27/2015 21:00,22.673,116.898,5.0,0,,,0.0,,35361.192,41530.73750000001,0.0,,,
606,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/27/2015 21:30,22.409,117.162,5.0,2258.8059,,,0.0,,226872.13259999998,128192.806,0.0,,,
607,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,07/03/2015 16:00,24.435,118.764,5.0,0,,,0.0,,58630.7459,109812.9064,0.0,,,
608,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,07/03/2015 18:30,24.159,118.963,5.0,1103.0988,,,0.0,,66410.81869999999,94093.0899,0.0,,,
609,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,07/01/2015 2:00,24.267,118.344,5.0,0,,,0.0,,36369.678700000004,3002.3472000000006,0.0,,,
610,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/30/2015 11:50,23.992,118.541,5.0,2117.9711,,,0.0,,64084.87980000001,137778.9186,0.0,,,
611,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,07/04/2015 5:50,25.059,119.424,5.0,2732.4397,,,0.0,,108666.659,638281.4848000001,0.0,,,
612,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,07/04/2015 7:00,24.967,119.599,5.0,1538.1105,,,0.0,,56106.736,119671.78780000002,0.0,,,
613,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,07/04/2015 9:40,24.812,119.834,5.0,1753.7600999999997,,,0.0,,74545.48129999998,190871.0382,0.0,,,
614,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,07/04/2015 2:00,24.663,118.957,5.0,5499.6922,,,0.0,,65179.14260000001,1016860.2217,0.0,,,
615,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,07/03/2015 24:00,24.562,119.144,5.0,2143.5543,,,0.0,,118826.7602,161861.18419999996,0.0,,,
616,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,07/03/2015 22:00,24.428,119.379,5.0,,,,,,,,,,,
617,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/28/2015 19:00,22.016,118.528,5.0,,,,,,,,,,,
618,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/28/2015 11:15,21.441,118.16,5.0,2000.4817999999998,,,0.0,,3594357.3524,424390.12729999993,0.0,,,
619,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/28/2015 12:10,21.2613,118.37,5.0,3708.8012999999996,,,0.0,,1752939.856,226691.5434,0.0,,,
620,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/28/2015 2:00,22.126,117.46,5.0,,,,,,,,,,,
621,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/28/2015 5:10,21.819,117.782,5.0,,,,,,,,,,,
622,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/29/2015 5:30,22.56,117.966,5.0,,,,,,,,,,,
623,"Wen et al., 2017. Scientific Reports",data shown in Figure 5,"Units error: abundances were ~10^3 too low; also ND were included in Tang data - these were undetermined, not zeros, BD were changed to 0, ND were changed to blank",Y,Church 2005 (A1),qPCR,06/29/2015 4:40,22.237,118.296,5.0,,,,,,,,,,,
624,"Henke et al., 2018. Frontiers in Microbiology",data shown in Supplementary Table 1 and 3,,Y,"Church 2005 (A1), Thompson 2014 (A2/A3/A4)",qPCR,2012-07-04 00:00:00,-22.216667,166.366667,3.0,267,685.0,952.0000000000001,,,,,,,,
625,"Henke et al., 2018. Frontiers in Microbiology",data shown in Supplementary Table 1 and 3,,Y,"Church 2005 (A1), Thompson 2014 (A2/A3/A4)",qPCR,2012-08-03 00:00:00,-22.216667,166.366667,3.0,3420,1350.0,4770.0,,,,,,,,
626,"Henke et al., 2018. Frontiers in Microbiology",data shown in Supplementary Table 1 and 3,,Y,"Church 2005 (A1), Thompson 2014 (A2/A3/A4)",qPCR,2012-10-02 00:00:00,-22.216667,166.366667,3.0,3340,813.0,4153.0,,,,,,,,
627,"Henke et al., 2018. Frontiers in Microbiology",data shown in Supplementary Table 1 and 3,,Y,"Church 2005 (A1), Thompson 2014 (A2/A3/A4)",qPCR,2012-11-27 00:00:00,-22.216667,166.366667,3.0,5490,34.0,5524.0,,,,,,,,
